Game,alpha,gamma,omega,beta,Q_Deck_1,Q_Deck_2,Q_Deck_3,I_Deck_1,I_Deck_2,I_Deck_3,I_transformed_Deck_1,I_transformed_Deck_2,I_transformed_Deck_3,V_Deck_1,V_Deck_2,V_Deck_3,Softmax_Prob_Deck_1,Softmax_Prob_Deck_2,Softmax_Prob_Deck_3,Chosen_Deck,Chosen_Prob,Weighted_I_transformed_Deck_1,Weighted_I_transformed_Deck_2,Weighted_I_transformed_Deck_3
35,0.0790426358580589,1.7881791591644287,0.7956320643424988,2.043585538864136,6.49370546973298,12.435152144081387,0.0,2.0,4.0,0.0,3.4537871116251835,11.928645412428228,0.0,3.745761700311119,2.9443393697814386,0.0,0.8369000031481274,0.1627034970108718,0.0003964997573106,2,0.1627034970108718,2.747943769421861,9.490812774299949,0.0
36,0.0788058787584304,1.8548061847686768,0.8054792284965515,2.043585538864136,0.0,3.337040968306284,1.665904714281261,0.0,2.0,4.0,0.0,3.6170315566092937,13.082917281507449,0.0,0.4235971806409493,-8.872113404111559,0.2961587764860041,0.7038412194866219,3.956989954426238e-09,2,0.7038412194866219,0.0,2.9134437876653347,10.53801811839282
37,0.07749605178833,1.8626079559326167,0.8288305401802063,2.043585538864136,7.168790016986804,8.140782104746222,10.024132657069458,2.0,2.0,2.0,3.6366446356843465,3.6366446356843465,3.6366446356843465,4.154627879149098,5.126619966908516,7.009970519231752,0.0028538776239258,0.0208015523009964,0.9763445699774432,3,0.9763445699774432,3.0141621378377064,3.0141621378377064,3.0141621378377064
38,0.0782183781266212,1.8556956052780151,0.8254376649856567,2.043585538864136,15.86746349788456,0.0,0.8053391273020019,4.0,0.0,2.0,13.099058449654622,0.0,3.6192621416049184,5.055007277691013,0.0,-2.182136163835349,0.99996699550025,3.262692218246709e-05,3.774775709089813e-07,1,0.99996699550025,10.812456220193548,0.0,2.987475291137351
39,0.0783635601401329,1.8582829236984253,0.8194793462753296,2.043585538864136,4.482210554437608,0.0,13.58647601512487,2.0,0.0,4.0,3.625758722789202,0.0,13.146126315881986,1.5109761665342387,0.0,2.813497015732993,0.0650709945838602,0.0029673516501342,0.9319616536728096,3,0.9319616536728096,2.9712343879033694,0.0,10.772978999391876
40,0.0779457837343216,1.863017439842224,0.8269426226615906,2.043585538864136,7.3055681237469745,0.0,8.911121755520362,2.0,0.0,4.0,3.637676980549593,0.0,13.232693814820404,4.297417981055599,0.0,-2.031556772585029,0.999844160004161,0.0001534252480898,2.4146477649590634e-06,1,0.999844160004161,3.008150142691376,0.0,10.942678528105393
41,0.0774867460131645,1.882378935813904,0.8437650799751282,2.043585538864136,2.4194910891961943,1.782195158302784,0.0,4.0,2.0,0.0,13.592678527401732,3.6868249927819647,0.0,-9.049536395553137,-1.3286190265861917,0.0,8.720422164118737e-09,0.0620854817950082,0.9379145093907784,3,0.9379145093907784,11.469027484749331,3.1108141848889757,0.0
42,0.078379213809967,1.872814416885376,0.8346074819564819,2.043585538864136,0.0,11.861735183589968,19.221847252019938,0.0,2.0,4.0,0.0,3.6624635891915993,13.413639542154211,0.0,8.805015669657468,8.026723329870714,1.2730000171255176e-08,0.8306874076777996,0.1693125795091315,2,0.8306874076777996,0.0,3.0567195139325,11.195123922149223
43,0.0780941769480705,1.8614503145217896,0.8265612125396729,2.043585538864136,8.980984403483884,4.640581855164887,4.545380506000711,2.0,2.0,2.0,3.633727704731073,3.633727704731073,3.633727704731073,5.977486025822365,1.6370834775033685,1.5418821283391932,0.9997438237047408,0.0001405088488959,0.000115667346389,1,0.9997438237047408,3.003498377661518,3.003498377661518,3.003498377661518
44,0.0782248675823211,1.8523807525634768,0.8230045437812805,2.043585538864136,0.0,2.8101156871810997,5.316643353147418,0.0,4.0,2.0,0.0,13.039001636191609,3.610955778764344,0.0,-7.921041905776144,2.3448103398310907,0.0082290590104174,7.678626048396036e-10,0.9917709401225429,3,0.9917709401225429,0.0,10.731157592957246,2.9718330133163273
